municipios_BR_dadosFID,municipios_BR_dadosmun_nm,municipios_BR_dadoscod_ibge,municipios_BR_dadosT2_1_man,municipios_BR_dadosT2_2_rpe,municipios_BR_dadosT2_2_qe_m3,municipios_BR_dadosT2_2_qe_ls,municipios_BR_dadosT2_4_tpsis,municipios_BR_dadosT2_4_tp_op,municipios_BR_dadosT3_1_c_man,municipios_BR_dadosT3_2_sispr,municipios_BR_dadosT3_3_avqtt,municipios_BR_dadosT3_4_dist,municipios_BR_dadosT3_5_efdis,municipios_BR_dadosT3_6_efpr,municipios_BR_dadosT3_7_ish,municipios_BR_dadosT3_8_plnac,municipios_BR_dadosT3_9_ivi,municipios_BR_dadosT3_10_perd,municipios_BR_dadosT2_2_SiSem,WebServices_Croquis_vfinalcsvHiperlink1,WebServices_Croquis_vfinalcsvNome_Croqui1,WebServices_Croquis_vfinalcsvHiperlink2,WebServices_Croquis_vfinalcsvNome_Croqui2,WebServices_Croquis_vfinalcsvHiperlink3,WebServices_Croquis_vfinalcsvNome_Croqui3,WebServices_Croquis_vfinalcsvHiperlink4,WebServices_Croquis_vfinalcsvNome_Croqui4,WebServices_Croquis_vfinalcsvHiperlink5,WebServices_Croquis_vfinalcsvNome_Croqui5,WebServices_Croquis_vfinalcsvHiperlink6,WebServices_Croquis_vfinalcsvNome_Croqui6,WebServices_Croquis_vfinalcsvHiperlink7,WebServices_Croquis_vfinalcsvNome_Croqui7
3342,Ivorá,4310751,Exclusivamente Subterrânea,4310751,0.001126,1.125723,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310751_Ivora.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3343,Itaara,4310538,Preponderantemente Superficial,4310538,0.000848,0.847609,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310538_Itaara.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3344,Lagoa Bonita do Sul,4311239,Exclusivamente Subterrânea,4311239,0.001126,1.125625,Sistema Integrado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311239_LagoaBonitadoSul.pdf,Sistemas,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_RS_INT_24_LagoaBonitadoSulPassaSete.pdf,Sistema Integrado Lagoa Bonita do Sul-Passa Sete,,,,,,,,,,
3345,Itapuca,4310579,Exclusivamente Subterrânea,4310579,0.001156,1.155896,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310579_Itapuca.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3346,Lagoa dos Três Cantos,4311270,Exclusivamente Subterrânea,4311270,0.001126,1.125563,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311270_LagoadosTresCantos.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3347,Itatiba do Sul,4310702,Exclusivamente Superficial,4310702,0.001128,1.127609,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310702_ItatibadoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3348,Maratá,4311791,Exclusivamente Subterrânea,4311791,0.001098,1.098202,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311791_Marata.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3349,Jaboticaba,4310850,Exclusivamente Subterrânea,4310850,0.001135,1.134849,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310850_Jaboticaba.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3350,Mato Queimado,4312179,Exclusivamente Subterrânea,4312179,0.001054,1.054314,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312179_MatoQueimado.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3351,Jacutinga,4310900,Exclusivamente Subterrânea,4310900,0.002591,2.591101,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4310900_Jacutinga.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3352,Santana do São Francisco,2806404,Exclusivamente Subterrânea,2806404,0.00213,2.129642,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,50 ≥ Índice de Cobertura > 70%,Mínima,Média,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2806404_SantanadoSaoFrancisco.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3353,Jaguari,4311106,Exclusivamente Superficial,4311106,0.000503,0.50307,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311106_Jaguari.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3354,Jari,4311130,Exclusivamente Subterrânea,4311130,0.000503,0.503089,Sistema Isolado,Autarquia Municipal,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311130_Jari.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3355,Lagoão,4311254,Exclusivamente Subterrânea,4311254,0.001126,1.125552,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311254_Lagoao.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3356,Lajeado,4311403,Preponderantemente Superficial,4311403,0.001196,1.195866,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Adequação do Sistema,Manancial Não Vulnerável com Adequação do Sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_RS_INT_17_LajeadoCruzeirodoSul.pdf,Sistema Integrado Lajeado-Cruzeiro do Sul,,,,,,,,,,,,
3357,Lajeado do Bugre,4311429,Exclusivamente Subterrânea,4311429,0.001135,1.134836,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311429_LajeadodoBugre.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3358,Liberato Salzano,4311601,Exclusivamente Subterrânea,4311601,0.001135,1.134802,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311601_LiberatoSalzano.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3359,Miraguaí,4312302,Exclusivamente Subterrânea,4312302,0.0009,0.89992,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312302_Miraguai.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3360,Machadinho,4311700,Preponderantemente Superficial,4311700,0.000864,0.863657,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311700_Machadinho.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3361,Presidente Castello Branco,4213906,Exclusivamente Subterrânea,4213906,0.000618,0.618279,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4213906_PresidenteCastelloBranco.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3362,Presidente Getúlio,4214003,Exclusivamente Superficial,4214003,0.002236,2.236252,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4214003_PresidenteGetulio.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3363,Presidente Nereu,4214102,Exclusivamente Superficial,4214102,0.002235,2.235404,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4214102_PresidenteNereu.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3364,Maçambara,4311718,Exclusivamente Subterrânea,4311718,0.000679,0.679471,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311718_Macambara.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3365,Marcelino Ramos,4311908,Exclusivamente Superficial,4311908,0.000768,0.768361,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do Sistema,Manancial Não Vulnerável com Adequação do Sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311908_MarcelinoRamos.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3366,Romelândia,4215208,Exclusivamente Superficial,4215208,0.000957,0.957323,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4215208_Romelandia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3367,Mariana Pimentel,4311981,Exclusivamente Superficial,4311981,0.001097,1.097165,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Baixa,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4311981_MarianaPimentel.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3368,Mariano Moro,4312005,Exclusivamente Subterrânea,4312005,0.000773,0.773185,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312005_MarianoMoro.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3369,Marques de Souza,4312054,Exclusivamente Subterrânea,4312054,0.001156,1.155875,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312054_MarquesdeSouza.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3370,Bertópolis,3106606,Exclusivamente Superficial,3106606,0.000853,0.853275,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Baixa,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3106606_Bertopolis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3371,Betim,3106705,Exclusivamente Superficial,3106705,0.000923,0.922851,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_MG_INT_16_Paraopeba.pdf,Sistema Integrado Paraopeba,,,,,,,,,,,,
3372,Mato Castelhano,4312138,Exclusivamente Subterrânea,4312138,0.000983,0.98296,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312138_MatoCastelhano.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3373,Mata,4312104,Exclusivamente Subterrânea,4312104,0.000503,0.503082,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312104_Mata.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3374,Montauri,4312351,Exclusivamente Subterrânea,4312351,0.001156,1.155814,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312351_Montauri.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3375,Maximiliano de Almeida,4312203,Preponderantemente Superficial,4312203,0.000811,0.810991,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312203_MaximilianodeAlmeida.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3376,Minas do Leão,4312252,Exclusivamente Superficial,4312252,0.001125,1.125254,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312252_MinasdoLeao.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3377,Mormaço,4312427,Exclusivamente Subterrânea,4312427,0.001126,1.125507,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312427_Mormaco.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3378,Morro Redondo,4312450,Exclusivamente Superficial,4312450,0.000543,0.542827,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Média,Baixa,Média,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312450_MorroRedondo.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3379,Campo Belo do Sul,4203402,Exclusivamente Subterrânea,4203402,0.001151,1.151188,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4203402_CampoBelodoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3380,Não-Me-Toque,4312658,Exclusivamente Subterrânea,4312658,0.001126,1.125561,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312658_NaoMeToque.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3381,Caiçara do Norte,2401859,Exclusivamente Subterrânea,2401859,0.000268,0.268349,Sistema Integrado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,50 ≥ Índice de Cobertura > 70%,Mínima,Alta,Média,Medida de Gestão,D,Ação não necessária,Sistema Integrado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_RN_INT_02_Boqueirao.pdf,Sistema Integrado Boqueirão,,,,,,,,,,,,
3382,Nicolau Vergueiro,4312674,Exclusivamente Subterrânea,4312674,0.001125,1.125424,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312674_NicolauVergueiro.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3383,Nova Alvorada,4312757,Exclusivamente Subterrânea,4312757,0.001156,1.155884,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4312757_NovaAlvorada.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3384,Pilões,2511608,Exclusivamente Superficial,2511608,0.000324,0.323899,Sistema Isolado,Companhia Estadual,Manancial com Alta Vulnerabilidade,Adequação do Sistema,Manancial com Alta Vulnerabilidade,90 ≥ Índice de Cobertura > 97%,Média,Mínima,Baixa,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,C,Ação necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2511608_Piloes.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3385,Nova Bréscia,4313003,Exclusivamente Subterrânea,4313003,0.001156,1.155819,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313003_NovaBrescia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3386,Nova Candelária,4313011,Exclusivamente Subterrânea,4313011,0.000898,0.8981,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313011_NovaCandelaria.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3387,Pilõezinhos,2511707,Exclusivamente Superficial,2511707,0.000324,0.323901,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Adequação do Sistema,Manancial Não Vulnerável com Adequação do Sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação necessária,Sistema Integrado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_PB_INT_25_Taua.pdf,Sistema Integrado Sistema Produtor Sistema Tauá,,,,,,,,,,,,
3388,Bom Jesus da Penha,3107604,Exclusivamente Subterrânea,3107604,0.003254,3.253572,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3107604_BomJesusdaPenha.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3389,Bom Jesus do Amparo,3107703,Exclusivamente Superficial,3107703,0.001205,1.204742,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3107703_BomJesusdoAmparo.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3390,Nova Esperança do Sul,4313037,Exclusivamente Superficial,4313037,0.000503,0.503055,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Adequação do Sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313037_NovaEsperancadoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3391,Nova Ramada,4313334,Exclusivamente Subterrânea,4313334,0.001049,1.048854,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313334_NovaRamada.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3392,Nova Palma,4313102,Exclusivamente Subterrânea,4313102,0.001126,1.125701,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313102_NovaPalma.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3393,Nova Prata,4313300,Exclusivamente Superficial,4313300,0.001156,1.155552,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4313300_NovaPrata.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
3394,Faxinal dos Guedes,4205308,Exclusivamente Superficial,4205308,0.001093,1.093376,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4205308_FaxinaldosGuedes.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
